,Time,Dominant Freq.,X,Y,Amplitude,Phase,,Wavelength,Amp/Wave
8,13,FALSE,35,4,0.001277043,0.267159526,,0.028571429,0.044696518
9,13,FALSE,60,4,0.001480073,1.252003408,,0.016666667,0.08880435
10,13,FALSE,46,5,0.001348822,2.294060366,,0.02173913,0.062045833
11,13,FALSE,76,8,0.001294221,-1.404845063,,0.013157895,0.09836081
12,13,FALSE,31,9,0.001593151,1.378581357,,0.032258065,0.049387678
13,13,FALSE,66,10,0.001496361,-2.432896751,,0.015151515,0.098759818
14,13,FALSE,31,11,0.001285518,0.253255944,,0.032258065,0.039851057
15,13,FALSE,43,12,0.001276197,1.546342795,,0.023255814,0.054876473
16,13,FALSE,33,13,0.001286575,-1.567250613,,0.03030303,0.042456985
17,13,FALSE,38,13,0.001501751,-0.373607768,,0.026315789,0.05706652
18,13,FALSE,58,13,0.001433865,-0.415496602,,0.017241379,0.083164177
19,13,FALSE,38,14,0.001404564,-0.847237321,,0.026315789,0.053373446
20,13,FALSE,58,17,0.001428085,0.502269874,,0.017241379,0.082828946
21,13,FALSE,75,17,0.001332203,-1.145261603,,0.013333333,0.099915245
22,13,FALSE,17,19,0.001580006,0.315162073,,0.058823529,0.026860107
